Notes,Context,en,th,km,vi,my,lo,,,,,,,,,,,,,,,,,,,
,FeatureInfoDownload.DownloadTable,Download this Table,ดาวน์โหลดตารางนี้,ទាញយកតារាងនេះ,Tải bảng biểu xuống,ဇယားကို ဒေါင်းလုပ်လုပ်ရန်,ດາວໂຫຼດຕາຕະລາງນີ້,,,,,,,,,,,,,,,,,,,
,Workbench.RemoveAll,Remove All,ลบทั้งหมด,លុបទាំងអស់,Loại bỏ tất cả,အားလုံးဖယ်ရှားရန်,ລຶບທັງໝົດ,,,,,,,,,,,,,,,,,,,
,Workbench.DataSets,Data Sets,ชุดข้อมูล,សំណុំទិន្នន័យ,Bộ dữ liệu,အချက်အလက်အစုများ,ຊຸດຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.FollowUp,We can't follow up without it!,เราไม่สามารถติดตามงานต่อได้โดยไม่มีข้อมูลนี้,យើងមិនអាចតាមដានដោយគ្មានវាបានទេ!,Chúng ta không thể tiếp tục mà không có nó!,၎င်းမဖော်ပြပါက မပံ့ပိုးနိုင်ပါ,ພວກເຮົາບໍ່ສາມາດຕິດຕາມໄດ້ຖ້າບໍ່ມີຂໍ້ມູນນີ້!,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Sending,Sending,กำลังส่ง,កំពុងផ្ញើ,Đang gửi đi,ပေးပို့ခြင်း,ກຳລັງສົ່ງ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Feedback,Feedback,ข้อเสนอแนะ,មតិត្រឡប់,Phản hồi,တုံ့ပြန်ချက်,ຂໍ້ຄິດເຫັນ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Troubleshoot,This helps us to troubleshoot issues by letting us see what you're seeing,การอนุญาตให้เราเห็นว่าคุณกำลังเจอปัญหาอะไรช่วยให้เราแก้ปัญหาได้,នេះជួយយើងវិភាគនិងដោះស្រាយបញ្ហាដោយអនុញ្ញាតឱ្យយើងមើលឃើញនូវអ្វីដែលអ្នកកំពុងជួបប្រទះ,Hãy cho chúng tôi biết điều bạn đang thấy để có thể giải quyết vấn đề,သင်မြင်နေသည်ကို ကျွန်ုပ်တို့ကိုမြင်စေခြင်းဖြင့် ပြဿနာများကို ဖြေရှင်းပေးနိုင်သည်,ນີ້ຈະຊ່ວຍໃນການແກ້ໄຂບັນຫາ ດ້ວຍການເຮັດໃຫ້ພວກເຮົາເບິ່ງເຫັນສິ່ງທີ່ທ່ານເຫັນ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Send,Send,ส่ง,ផ្ញើ,Gửi đi,ပို့ရန်,ສົ່ງ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.ShareMyView,Share my map view with,แบ่งปันมุมมองแผนที่ให้กับ,ចែករំលែកទិដ្ឋភាពផែនទីរបស់ខ្ញុំជាមួយ,Chia sẻ hình ảnh bản đồ của tôi với,မိမိ၏မြေပုံမြင်ကွင်းကို မျှဝေရန်,ແບ່ງປັນມູມມອງແຜນທີ່ກັບ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Cancel,Cancel,ยกเลิก,បោះបង់,Hủy,,ຍົກເລີກ,,,,,,,,,,,,,,,,,,,
